#Table1
objid,u,g,r,i,z
1237668678843892594,20.99025,20.14671,19.81773,19.68667,19.70092
1237668678843892595,22.84804,21.69534,21.22479,21.0667,20.97705
1237668678843892598,22.90915,20.63687,19.71489,19.36852,19.1954
1237668678843892599,24.98325,22.43919,21.63683,21.2889,21.08402
1237668678843892600,25.21476,23.92129,22.87234,22.10179,21.1539
1237668678843892603,22.89493,20.76114,19.40546,18.51037,18.01718
1237668678843892604,24.60053,21.99016,20.64164,19.92229,19.67855
1237668678843892617,21.00665,20.07275,19.7268,19.6125,19.49171
1237668678843892618,21.80669,20.97266,20.5499,20.381,20.37026
1237668678843892619,23.96706,22.64048,22.02008,21.59135,21.3139
1237668678843892621,23.56012,20.93815,19.64776,19.05889,18.80851
